LATITUDE,LONGITUDE,ACQ_DATE,ACQ_TIME,SATELLITE,FRP,DAYNIGHT,initialdat,area_ha,id,days_diff,layer,path
40.3012000000,-6.3742000000,2023-05-18,"1326",Aqua,276.2000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3012000000,-6.3742000000,2023-05-18,"1326",Aqua,276.2000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3041000000,-6.3585000000,2023-05-18,"1326",Aqua,123.4000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3041000000,-6.3585000000,2023-05-18,"1326",Aqua,123.4000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3071000000,-6.3429000000,2023-05-18,"1326",Aqua,58.9000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3071000000,-6.3429000000,2023-05-18,"1326",Aqua,58.9000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2940000000,-6.3552000000,2023-05-18,"1326",Aqua,258.1000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2940000000,-6.3552000000,2023-05-18,"1326",Aqua,258.1000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2882000000,-6.3860000000,2023-05-18,"1326",Aqua,42.6000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2882000000,-6.3860000000,2023-05-18,"1326",Aqua,42.6000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.5803000000,-8.5694000000,2023-05-18,"1326",Aqua,32.1000000000,D,2023-05-18,"86","216316","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.5803000000,-8.5694000000,2023-05-18,"1326",Aqua,32.1000000000,D,2023-05-18,"86","216316","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.5845000000,-8.5493000000,2023-05-18,"1326",Aqua,33.9000000000,D,2023-05-18,"86","216316","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.5845000000,-8.5493000000,2023-05-18,"1326",Aqua,33.9000000000,D,2023-05-18,"86","216316","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2911000000,-6.3706000000,2023-05-18,"1326",Aqua,216.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2911000000,-6.3706000000,2023-05-18,"1326",Aqua,216.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2969000000,-6.3398000000,2023-05-18,"1326",Aqua,22.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2969000000,-6.3398000000,2023-05-18,"1326",Aqua,22.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3272000000,-6.3707000000,2023-05-18,"2152",Terra,78.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3272000000,-6.3707000000,2023-05-18,"2152",Terra,78.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2570000000,-6.4357000000,2023-05-18,"2152",Terra,21.7000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2570000000,-6.4357000000,2023-05-18,"2152",Terra,21.7000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2547000000,-6.4491000000,2023-05-18,"2152",Terra,294.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2547000000,-6.4491000000,2023-05-18,"2152",Terra,294.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2526000000,-6.4615000000,2023-05-18,"2152",Terra,188.0000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2526000000,-6.4615000000,2023-05-18,"2152",Terra,188.0000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2504000000,-6.4741000000,2023-05-18,"2152",Terra,22.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2504000000,-6.4741000000,2023-05-18,"2152",Terra,22.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2479000000,-6.4882000000,2023-05-18,"2152",Terra,32.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2479000000,-6.4882000000,2023-05-18,"2152",Terra,32.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2755000000,-6.3854000000,2023-05-18,"2152",Terra,15.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2755000000,-6.3854000000,2023-05-18,"2152",Terra,15.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2642000000,-6.4511000000,2023-05-18,"2152",Terra,282.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2642000000,-6.4511000000,2023-05-18,"2152",Terra,282.3000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2621000000,-6.4636000000,2023-05-18,"2152",Terra,624.1000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2621000000,-6.4636000000,2023-05-18,"2152",Terra,624.1000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2598000000,-6.4768000000,2023-05-18,"2152",Terra,193.8000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2598000000,-6.4768000000,2023-05-18,"2152",Terra,193.8000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2574000000,-6.4908000000,2023-05-18,"2152",Terra,120.5000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2574000000,-6.4908000000,2023-05-18,"2152",Terra,120.5000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2894000000,-6.3614000000,2023-05-18,"2152",Terra,68.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2894000000,-6.3614000000,2023-05-18,"2152",Terra,68.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2872000000,-6.3747000000,2023-05-18,"2152",Terra,145.1000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2872000000,-6.3747000000,2023-05-18,"2152",Terra,145.1000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2849000000,-6.3877000000,2023-05-18,"2152",Terra,31.8000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.2849000000,-6.3877000000,2023-05-18,"2152",Terra,31.8000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
